index,unit1_rgb,unit1_pwr_60ghz,unit1_loc,unit2_loc,,unit1_beam_index,seq_index,time_stamp[UTC],unit2_direction,unit2_num_sat,unit2_sat_used,unit2_fix_type,unit2_DGPS,unit2_PDOP,unit2_HDOP
1,./unit1/camera_data/image_BS1_1528_01_20_55.jpg,./unit1/mmWave_data/mmWave_power_0.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_0.txt,,2,1,['01-20-55-332'],0,18,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R22 R23 E2 E13 E15 E27 E30,3D,Yes,1.4,0.8
2,./unit1/camera_data/image_BS1_1529_01_20_55.jpg,./unit1/mmWave_data/mmWave_power_1.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_1.txt,,2,1,['01-20-55-498'],0,18,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R22 R23 E2 E13 E15 E27 E30,3D,Yes,1.3,0.7
3,./unit1/camera_data/image_BS1_1530_01_20_55.jpg,./unit1/mmWave_data/mmWave_power_2.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_2.txt,,2,1,['01-20-55-664'],0,18,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R22 R23 E2 E13 E15 E27 E30,3D,Yes,1.3,0.7
4,./unit1/camera_data/image_BS1_1531_01_20_55.jpg,./unit1/mmWave_data/mmWave_power_3.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_3.txt,,2,1,['01-20-55-830'],0,13,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R22 R23,3D,Yes,1.3,0.7
5,./unit1/camera_data/image_BS1_1532_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_4.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_4.txt,,2,1,['01-20-56-0'],0,14,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23,3D,Yes,1.3,0.7
6,./unit1/camera_data/image_BS1_1533_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_5.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_5.txt,,3,1,['01-20-56-125'],0,14,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23,3D,Yes,1.3,0.7
7,./unit1/camera_data/image_BS1_1534_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_6.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_6.txt,,4,1,['01-20-56-250'],0,19,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23 E2 E13 E15 E27 E30,3D,Yes,1.3,0.7
8,./unit1/camera_data/image_BS1_1535_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_7.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_7.txt,,6,1,['01-20-56-375'],0,14,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23,3D,Yes,1.3,0.7
9,./unit1/camera_data/image_BS1_1536_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_8.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_8.txt,,8,1,['01-20-56-500'],0,19,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23 E2 E13 E15 E27 E30,3D,Yes,1.3,0.7
10,./unit1/camera_data/image_BS1_1537_01_20_56.jpg,./unit1/mmWave_data/mmWave_power_9.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_9.txt,,11,1,['01-20-56-625'],0,14,G2 G5 G6 G12 G19 G24 G25 R6 R7 R12 R13 R21 R22 R23,3D,Yes,1.3,0.7
